operation_id	path	visibility	lane	mutation	output	positionals	flags	aliases	legacy_path	removed_successor
yai.reconcile.summary	reconcile summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	reconcile summary	-
yai.query.summary	query summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	query summary	-
yai.query.records	query records	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--kind", "repeatable": false, "required": false, "value_name": "KIND"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": false, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--limit", "repeatable": false, "required": false, "value_name": "N"}]	[]	query records	-
yai.engine.summary	engine summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	engine summary	-
yai.hot.status	hot status	compatibility	compatibility	read_only	plain_compat	[]	[]	[]	hot status	-
yai.process.observe	process observe	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--pid", "repeatable": false, "required": true, "value_name": "PID"}]	[]	process observe	-
yai.process.signal	process signal	plumbing	local_domain	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--pid", "repeatable": false, "required": true, "value_name": "PID"}, {"aliases": [], "choices": ["TERM", "KILL"], "legacy_name": null, "name": "--signal", "repeatable": false, "required": true, "value_name": "VALUE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--dry-run", "repeatable": false, "required": false, "value_name": null}]	[]	process signal	-
yai.observe.compare_process	observe compare-process	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--pid", "repeatable": false, "required": true, "value_name": "PID"}, {"aliases": [], "choices": ["running", "stopped"], "legacy_name": null, "name": "--expected", "repeatable": false, "required": true, "value_name": "VALUE"}]	[]	observe compare-process	-
yai.carrier.fs_read	carrier fs-read	plumbing	local_domain	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--sandbox", "repeatable": false, "required": true, "value_name": "DIR"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": true, "value_name": "PATH"}]	[]	carrier fs-read	-
yai.graph.summary	graph summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--journal", "repeatable": false, "required": true, "value_name": "FILE"}]	[]	graph summary	-
yai.graph.schema	graph schema	plumbing	inspection	read_only	plain_compat	[]	[]	[]	graph schema	-
yai.graph.runtime_status	graph runtime-status	plumbing	inspection	read_only	plain_compat	[]	[]	[]	graph runtime-status	-
yai.graph.materialize	graph materialize	plumbing	inspection	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}]	[]	graph materialize	-
yai.graph.relations	graph relations	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--limit", "repeatable": false, "required": false, "value_name": "N"}]	[]	graph relations	-
yai.graph.runtime_load	graph runtime-load	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}]	[]	graph runtime-load	-
yai.graph.runtime_summary	graph runtime-summary	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}]	[]	graph runtime-summary	-
yai.graph.rebuild	graph rebuild	plumbing	inspection	mutating	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}, {"aliases": [], "choices": ["graph-relations", "journal"], "legacy_name": null, "name": "--from", "repeatable": false, "required": true, "value_name": "VALUE"}, {"aliases": [], "choices": [], "legacy_name": null, "name": "--path", "repeatable": false, "required": false, "value_name": "FILE"}]	[]	graph rebuild	-
yai.graph.rebuild_report	graph rebuild-report	plumbing	inspection	read_only	plain_compat	[]	[{"aliases": [], "choices": [], "legacy_name": null, "name": "--case", "repeatable": false, "required": true, "value_name": "CASE"}]	[]	graph rebuild-report	-
